MonthlyCharges,tenure,Contract,gender,SeniorCitizen,Partner,Dependents,InternetService,PaymentMethod,Actual_Churn,Predicted_Churn
19.9,65,Two year,Male,0,Yes,Yes,No,Mailed check,0,0
86.05,10,Month-to-month,Male,0,No,No,Fiber optic,Bank transfer (automatic),1,1
95.0,70,One year,Male,0,Yes,No,Fiber optic,Bank transfer (automatic),0,0
98.6,29,Month-to-month,Female,0,No,No,Fiber optic,Credit card (automatic),1,0
104.4,21,Month-to-month,Male,0,Yes,Yes,Fiber optic,Electronic check,1,0
90.75,1,Month-to-month,Male,0,Yes,No,Fiber optic,Electronic check,1,1
20.25,5,Month-to-month,Male,0,No,No,No,Mailed check,0,0
89.7,56,Month-to-month,Male,0,Yes,No,Fiber optic,Mailed check,0,0
85.15,35,One year,Male,0,No,Yes,Fiber optic,Electronic check,1,0
20.45,10,One year,Male,0,Yes,Yes,No,Mailed check,0,0
49.85,31,Two year,Female,0,No,No,DSL,Bank transfer (automatic),0,0
85.7,37,Month-to-month,Male,1,Yes,No,Fiber optic,Electronic check,1,1
95.25,57,Month-to-month,Male,1,Yes,No,Fiber optic,Bank transfer (automatic),1,0
25.6,34,One year,Female,0,Yes,Yes,No,Credit card (automatic),0,0
99.0,3,Month-to-month,Female,0,No,No,Fiber optic,Credit card (automatic),1,1
82.85,4,Month-to-month,Female,0,No,No,Fiber optic,Credit card (automatic),0,1
20.5,54,Two year,Female,0,No,No,No,Mailed check,0,0
19.7,6,Month-to-month,Male,0,No,Yes,No,Mailed check,0,0
59.75,22,One year,Male,0,Yes,No,DSL,Bank transfer (automatic),0,0
96.9,23,Month-to-month,Male,0,No,No,Fiber optic,Credit card (automatic),0,0
58.25,68,One year,Female,0,Yes,No,DSL,Bank transfer (automatic),0,0
20.0,48,Two year,Female,0,Yes,Yes,No,Mailed check,0,0
20.8,34,Month-to-month,Male,0,Yes,Yes,No,Mailed check,0,0
79.85,41,One year,Female,0,No,No,DSL,Bank transfer (automatic),0,0
75.85,9,Month-to-month,Male,0,No,No,Fiber optic,Electronic check,0,1
103.6,18,Month-to-month,Female,1,No,No,Fiber optic,Credit card (automatic),0,1
95.5,35,Month-to-month,Male,0,No,No,Fiber optic,Electronic check,0,0
79.4,55,Month-to-month,Male,0,Yes,Yes,Fiber optic,Electronic check,0,0
108.0,54,Two year,Male,0,No,No,Fiber optic,Credit card (automatic),0,0
78.55,2,Month-to-month,Female,1,No,No,Fiber optic,Electronic check,1,1
106.3,52,Two year,Male,0,Yes,No,Fiber optic,Electronic check,0,0
69.65,72,Two year,Male,0,No,No,DSL,Bank transfer (automatic),0,0
70.05,9,Month-to-month,Male,0,Yes,No,DSL,Mailed check,0,0
69.55,3,Month-to-month,Female,0,Yes,Yes,Fiber optic,Electronic check,0,0
75.35,4,Month-to-month,Male,1,No,No,Fiber optic,Electronic check,0,0
75.75,69,Two year,Male,0,Yes,Yes,DSL,Bank transfer (automatic),0,0
35.7,67,Two year,Female,0,Yes,Yes,DSL,Credit card (automatic),0,0
79.9,4,Month-to-month,Male,0,No,No,Fiber optic,Electronic check,1,1
45.55,13,Month-to-month,Male,0,No,No,DSL,Credit card (automatic),1,0
81.0,45,Two year,Female,0,Yes,Yes,DSL,Mailed check,0,0
101.35,68,One year,Male,0,No,No,Fiber optic,Bank transfer (automatic),0,0
73.7,69,One year,Female,0,Yes,Yes,DSL,Credit card (automatic),0,0
58.35,70,Two year,Female,0,No,No,DSL,Bank transfer (automatic),0,0
19.9,1,Month-to-month,Female,0,No,No,No,Mailed check,1,1
25.9,45,One year,Female,0,Yes,Yes,No,Credit card (automatic),0,0
20.3,37,One year,Female,0,No,Yes,No,Bank transfer (automatic),0,0
40.25,10,One year,Female,0,No,Yes,DSL,Mailed check,0,0
89.35,1,Month-to-month,Female,0,No,Yes,Fiber optic,Electronic check,0,1
69.05,29,One year,Male,0,Yes,Yes,DSL,Bank transfer (automatic),0,0
104.1,72,Two year,Male,1,Yes,Yes,Fiber optic,Credit card (automatic),0,0
75.9,2,Month-to-month,Female,0,No,No,Fiber optic,Electronic check,1,1
53.6,24,Month-to-month,Male,0,Yes,No,DSL,Mailed check,0,0
79.15,4,Month-to-month,Female,0,No,No,Fiber optic,Electronic check,1,1
19.3,72,Two year,Male,0,Yes,No,No,Credit card (automatic),0,0
79.0,11,Month-to-month,Female,0,No,No,Fiber optic,Bank transfer (automatic),0,0
19.9,44,Two year,Female,0,No,Yes,No,Mailed check,0,0
20.45,62,Two year,Male,0,Yes,Yes,No,Bank transfer (automatic),0,0
25.4,70,Two year,Male,0,Yes,Yes,No,Mailed check,0,0
25.05,1,Month-to-month,Female,1,No,No,DSL,Mailed check,1,1
105.65,4,One year,Female,0,No,No,Fiber optic,Electronic check,1,0
85.55,2,Month-to-month,Female,1,No,No,Fiber optic,Electronic check,1,1
56.3,41,One year,Female,0,No,No,DSL,Credit card (automatic),0,0
19.45,1,Month-to-month,Female,1,No,No,No,Electronic check,1,0
84.1,72,Two year,Male,1,Yes,No,DSL,Credit card (automatic),0,0
109.25,63,Two year,Female,0,Yes,No,Fiber optic,Bank transfer (automatic),0,0
79.6,68,One year,Male,0,No,No,Fiber optic,Credit card (automatic),0,0
99.5,59,One year,Female,1,No,No,Fiber optic,Electronic check,0,1
48.8,52,Month-to-month,Male,1,No,No,DSL,Credit card (automatic),0,0
105.75,26,Month-to-month,Male,1,Yes,Yes,Fiber optic,Electronic check,1,1
56.6,66,Two year,Male,0,Yes,No,DSL,Bank transfer (automatic),0,0
95.65,56,One year,Female,1,Yes,No,Fiber optic,Electronic check,0,0
79.2,72,Two year,Female,0,Yes,No,DSL,Credit card (automatic),0,0
70.1,2,Month-to-month,Male,1,Yes,No,Fiber optic,Electronic check,0,1
117.2,68,One year,Male,0,No,No,Fiber optic,Credit card (automatic),0,0
84.9,61,One year,Male,0,Yes,Yes,DSL,Bank transfer (automatic),0,0
20.05,1,Month-to-month,Male,0,No,No,No,Mailed check,0,0
19.9,2,Month-to-month,Male,0,No,No,No,Credit card (automatic),0,0
19.5,2,Month-to-month,Female,0,No,No,No,Mailed check,1,0
84.65,68,Month-to-month,Male,1,Yes,Yes,Fiber optic,Electronic check,0,1
68.25,9,Month-to-month,Male,0,No,No,DSL,Bank transfer (automatic),0,0
83.2,13,Month-to-month,Male,0,No,No,Fiber optic,Electronic check,1,0
20.05,22,Month-to-month,Female,0,No,No,No,Mailed check,0,0
25.3,66,Two year,Male,0,No,Yes,No,Credit card (automatic),0,0
20.35,8,Month-to-month,Male,0,No,Yes,No,Mailed check,0,0
69.95,2,Month-to-month,Male,0,Yes,Yes,Fiber optic,Mailed check,0,1
55.8,3,Month-to-month,Male,0,Yes,No,DSL,Mailed check,0,0
92.5,5,Month-to-month,Male,0,No,No,Fiber optic,Electronic check,1,1
20.0,13,Two year,Male,0,No,No,No,Credit card (automatic),0,0
65.0,53,Month-to-month,Male,0,Yes,Yes,DSL,Credit card (automatic),0,0
20.0,3,Month-to-month,Male,0,Yes,No,No,Bank transfer (automatic),0,0
94.9,46,One year,Male,0,No,No,Fiber optic,Credit card (automatic),0,0
40.3,39,One year,Female,0,No,No,DSL,Bank transfer (automatic),0,0
107.5,30,Month-to-month,Female,0,Yes,Yes,Fiber optic,Electronic check,0,0
98.7,23,Month-to-month,Female,0,No,No,Fiber optic,Credit card (automatic),0,1
20.4,40,One year,Male,0,No,Yes,No,Bank transfer (automatic),0,0
62.55,45,One year,Female,0,No,No,DSL,Credit card (automatic),0,0
19.65,53,Two year,Male,0,No,No,No,Bank transfer (automatic),0,0
112.4,72,Two year,Female,1,Yes,No,Fiber optic,Electronic check,0,0
20.3,28,Two year,Male,0,Yes,Yes,No,Credit card (automatic),0,0
67.4,49,Two year,Female,0,No,No,DSL,Bank transfer (automatic),0,0
74.6,1,Month-to-month,Male,0,Yes,No,Fiber optic,Bank transfer (automatic),1,1
81.0,20,Month-to-month,Female,0,Yes,No,Fiber optic,Mailed check,0,0
60.6,53,One year,Female,0,Yes,Yes,DSL,Credit card (automatic),0,0
69.2,67,Two year,Male,0,Yes,No,DSL,Credit card (automatic),0,0
73.85,11,Month-to-month,Male,0,No,No,Fiber optic,Electronic check,1,0
85.8,52,Month-to-month,Female,0,Yes,Yes,Fiber optic,Bank transfer (automatic),0,0
90.55,1,Month-to-month,Female,0,No,No,Fiber optic,Electronic check,1,1
55.5,48,Two year,Female,0,No,No,DSL,Credit card (automatic),0,0
75.45,7,Month-to-month,Female,0,No,No,Fiber optic,Mailed check,1,1
71.35,7,Month-to-month,Male,0,Yes,Yes,DSL,Credit card (automatic),0,0
84.05,12,Month-to-month,Female,0,No,Yes,Fiber optic,Electronic check,0,1
24.6,40,Two year,Male,0,No,No,No,Mailed check,0,0
77.8,55,Two year,Male,0,No,No,DSL,Bank transfer (automatic),0,0
19.5,20,One year,Female,0,No,No,No,Mailed check,0,0
35.55,1,Month-to-month,Male,0,No,No,DSL,Electronic check,1,1
84.2,72,Two year,Female,0,Yes,Yes,DSL,Bank transfer (automatic),0,0
110.1,63,Two year,Male,0,Yes,No,Fiber optic,Credit card (automatic),0,0
64.55,70,Two year,Female,0,Yes,No,DSL,Bank transfer (automatic),0,0
64.1,8,Month-to-month,Female,0,No,No,DSL,Mailed check,0,0
45.65,1,Month-to-month,Female,0,No,No,DSL,Electronic check,1,1
19.75,16,Two year,Male,0,No,No,No,Mailed check,0,0
25.2,11,Month-to-month,Female,0,No,Yes,DSL,Electronic check,0,0
74.95,11,Month-to-month,Male,0,No,No,Fiber optic,Electronic check,1,0
88.5,41,Month-to-month,Female,0,No,Yes,Fiber optic,Bank transfer (automatic),0,0
76.1,14,Two year,Male,0,No,Yes,DSL,Bank transfer (automatic),0,0
88.65,61,Two year,Female,0,No,No,DSL,Credit card (automatic),0,0
89.4,20,Month-to-month,Female,0,No,No,Fiber optic,Bank transfer (automatic),0,0
106.4,47,Month-to-month,Female,0,No,No,Fiber optic,Electronic check,1,0
59.5,2,Two year,Male,0,Yes,Yes,DSL,Mailed check,0,0
60.3,41,One year,Male,0,Yes,Yes,DSL,Bank transfer (automatic),0,0
25.25,72,Two year,Female,0,Yes,No,No,Bank transfer (automatic),0,0
80.2,72,Two year,Female,0,Yes,Yes,DSL,Bank transfer (automatic),0,0
95.65,46,One year,Female,0,No,No,Fiber optic,Credit card (automatic),0,0
19.8,1,Month-to-month,Male,0,No,No,No,Mailed check,1,1
45.0,29,Month-to-month,Male,0,No,Yes,DSL,Mailed check,0,0
100.05,37,Month-to-month,Female,0,No,No,Fiber optic,Electronic check,0,1
61.55,19,Month-to-month,Male,0,No,No,DSL,Credit card (automatic),0,0
78.0,49,One year,Female,0,Yes,Yes,DSL,Credit card (automatic),0,0
44.0,13,Month-to-month,Male,0,No,Yes,DSL,Mailed check,0,0
49.8,22,Month-to-month,Female,0,No,No,DSL,Electronic check,0,0
96.75,53,One year,Female,1,No,No,Fiber optic,Mailed check,0,0
49.55,24,Month-to-month,Male,0,No,No,DSL,Bank transfer (automatic),1,0
19.8,37,Two year,Female,0,No,No,No,Mailed check,0,0
55.3,6,Month-to-month,Male,0,Yes,Yes,DSL,Mailed check,1,0
79.65,7,Month-to-month,Female,0,No,No,Fiber optic,Mailed check,1,0
19.8,12,One year,Female,0,Yes,Yes,No,Bank transfer (automatic),1,0
25.0,71,Two year,Female,0,Yes,No,No,Bank transfer (automatic),0,0
82.0,26,One year,Male,0,Yes,Yes,DSL,Credit card (automatic),0,0
45.65,6,Month-to-month,Female,0,Yes,No,DSL,Mailed check,0,0
87.65,32,Month-to-month,Male,0,No,No,Fiber optic,Bank transfer (automatic),0,0
58.6,47,Month-to-month,Female,0,Yes,No,DSL,Bank transfer (automatic),0,0
21.0,31,Two year,Female,0,Yes,Yes,No,Mailed check,0,0
84.05,52,Month-to-month,Female,0,Yes,Yes,Fiber optic,Bank transfer (automatic),0,0
60.8,60,Two year,Female,0,Yes,No,DSL,Credit card (automatic),0,0
65.65,48,One year,Female,0,Yes,No,DSL,Electronic check,0,0
18.85,45,One year,Male,0,No,No,No,Bank transfer (automatic),0,0
80.45,39,Two year,Female,0,No,No,Fiber optic,Electronic check,1,0
85.7,1,Month-to-month,Female,1,No,No,Fiber optic,Electronic check,1,1
69.6,1,Month-to-month,Male,0,No,No,Fiber optic,Electronic check,1,1
79.05,6,Month-to-month,Female,0,No,No,Fiber optic,Electronic check,1,0
76.25,9,Month-to-month,Male,0,No,No,Fiber optic,Electronic check,0,1
114.05,72,Two year,Male,0,Yes,Yes,Fiber optic,Credit card (automatic),0,0
52.3,71,Month-to-month,Male,1,Yes,No,DSL,Bank transfer (automatic),0,0
19.6,71,Two year,Male,0,Yes,Yes,No,Bank transfer (automatic),0,0
94.6,64,Two year,Female,0,Yes,No,Fiber optic,Credit card (automatic),0,0
19.55,28,Month-to-month,Female,0,Yes,Yes,No,Bank transfer (automatic),0,0
115.15,70,Two year,Female,0,Yes,Yes,Fiber optic,Credit card (automatic),0,0
95.65,39,Month-to-month,Male,1,No,No,Fiber optic,Bank transfer (automatic),1,0
20.4,16,Month-to-month,Female,0,Yes,Yes,No,Electronic check,0,0
110.85,66,One year,Male,1,Yes,No,Fiber optic,Electronic check,1,0
95.4,21,Month-to-month,Female,1,No,No,Fiber optic,Bank transfer (automatic),0,1
84.8,44,Month-to-month,Female,0,No,No,Fiber optic,Bank transfer (automatic),1,0
99.1,54,One year,Female,1,Yes,No,Fiber optic,Electronic check,0,0
56.75,4,Month-to-month,Male,0,No,No,DSL,Electronic check,0,0
110.0,60,Two year,Female,1,Yes,No,Fiber optic,Bank transfer (automatic),0,0
92.4,26,Month-to-month,Male,0,No,No,Fiber optic,Credit card (automatic),0,0
78.6,24,Two year,Female,0,Yes,Yes,DSL,Credit card (automatic),0,0
19.4,53,Two year,Male,0,Yes,Yes,No,Mailed check,0,0
19.4,46,Two year,Female,0,Yes,Yes,No,Credit card (automatic),0,0
88.9,56,One year,Female,0,Yes,Yes,Fiber optic,Bank transfer (automatic),0,0
59.1,7,One year,Female,0,No,No,DSL,Electronic check,0,0
85.8,1,Month-to-month,Female,0,No,No,Fiber optic,Mailed check,1,1
45.55,1,Month-to-month,Male,0,No,No,DSL,Mailed check,0,1
19.95,60,Two year,Male,0,Yes,No,No,Mailed check,0,0
20.55,61,One year,Male,0,Yes,No,No,Credit card (automatic),0,0
33.55,42,One year,Female,0,Yes,No,DSL,Mailed check,1,0
19.85,27,Two year,Male,0,No,No,No,Credit card (automatic),0,0
85.35,9,Month-to-month,Female,0,Yes,Yes,Fiber optic,Bank transfer (automatic),1,1
20.05,72,Two year,Female,0,Yes,No,No,Bank transfer (automatic),0,0
19.65,23,One year,Female,0,No,No,No,Credit card (automatic),0,0
95.05,47,Month-to-month,Female,1,No,No,Fiber optic,Electronic check,1,0
18.95,54,Two year,Female,1,Yes,No,No,Mailed check,0,0
95.5,2,Month-to-month,Male,1,Yes,No,Fiber optic,Credit card (automatic),0,1
60.0,38,Two year,Male,0,Yes,No,DSL,Bank transfer (automatic),0,0
99.7,47,Month-to-month,Female,1,Yes,No,Fiber optic,Electronic check,0,0
56.25,22,One year,Male,0,Yes,No,DSL,Credit card (automatic),0,0
91.45,2,Month-to-month,Male,0,Yes,No,Fiber optic,Electronic check,0,1
79.05,72,Two year,Female,0,Yes,Yes,Fiber optic,Bank transfer (automatic),0,0
45.3,58,Month-to-month,Male,1,Yes,No,DSL,Electronic check,1,0
79.2,69,Two year,Male,0,Yes,Yes,Fiber optic,Credit card (automatic),0,0
69.5,18,Month-to-month,Male,0,No,No,DSL,Mailed check,0,0
20.0,55,Month-to-month,Female,0,Yes,Yes,No,Credit card (automatic),0,0
101.1,46,One year,Female,0,No,No,Fiber optic,Electronic check,0,0
19.25,5,Month-to-month,Male,0,No,No,No,Mailed check,0,0
33.65,4,Month-to-month,Female,0,No,No,DSL,Electronic check,1,0
89.5,5,Month-to-month,Male,1,No,No,Fiber optic,Electronic check,1,0
61.35,65,One year,Female,0,Yes,Yes,DSL,Bank transfer (automatic),0,0
21.45,35,Two year,Male,0,No,No,No,Bank transfer (automatic),0,0
97.05,45,Month-to-month,Female,1,No,No,Fiber optic,Electronic check,0,0
19.9,2,Month-to-month,Female,0,No,No,No,Electronic check,0,0
80.15,22,Month-to-month,Female,0,Yes,Yes,Fiber optic,Electronic check,0,1
68.95,70,Two year,Male,0,Yes,Yes,DSL,Credit card (automatic),0,0
66.3,30,Month-to-month,Female,0,Yes,Yes,DSL,Bank transfer (automatic),0,0
107.75,61,One year,Male,0,No,No,Fiber optic,Electronic check,0,0
20.35,29,One year,Female,0,No,No,No,Mailed check,0,0
105.55,61,Month-to-month,Male,0,Yes,No,Fiber optic,Electronic check,1,0
90.4,25,One year,Male,0,Yes,Yes,Fiber optic,Electronic check,1,1
113.15,71,One year,Male,0,Yes,No,Fiber optic,Bank transfer (automatic),0,0
35.0,1,Month-to-month,Female,0,Yes,No,DSL,Electronic check,0,1
70.45,62,Month-to-month,Female,0,Yes,Yes,DSL,Credit card (automatic),0,0
73.55,64,Month-to-month,Male,0,Yes,No,Fiber optic,Mailed check,0,0
90.6,64,Two year,Female,0,Yes,Yes,DSL,Mailed check,0,0
84.3,29,Month-to-month,Male,1,Yes,No,Fiber optic,Electronic check,0,1
70.75,2,Month-to-month,Female,0,No,No,DSL,Electronic check,1,0
19.65,1,Month-to-month,Male,0,No,No,No,Bank transfer (automatic),0,0
50.65,1,Month-to-month,Male,0,No,No,DSL,Mailed check,1,0
24.65,45,Two year,Female,0,Yes,Yes,No,Credit card (automatic),0,0
114.3,66,One year,Male,0,No,No,Fiber optic,Bank transfer (automatic),0,0
